fecha,titulo,cuerpo,fuente,neg,neu,pos,compound
2026-08-17 10:21:34+00:00,"Sumit Sarkar: Engaged scholarship, ways of historical thinking, an enduring legacy","Scholar of modern India with a path breaking approach to research and his discipline, historian Sumit Sarkar transformed how modern Indian history was understood, bringing ordinary people and their experiences to the centre of historical scholarship

The author, an acclaimed historian herself, wrote ...",SabrangIndia,0.0,0.952,0.048,0.4019
2026-08-17 09:55:59+00:00,'People could get hurt': Conservationists decry AI wildlife visuals,"The black-and-white image appears to show the unlikeliest of interactions: an orangutan cradling endangered leopard cubs deep in the jungles of Malaysia's Sabah state.

But the viral image is not just unlikely, it is fake, part of a trend of wildlife images generated by artificial intelligence that ...",The Hindu,0.067,0.867,0.067,0.0
2026-08-17 08:35:00+00:00,"AI-generated wildlife images are endangering animals and people, experts warn","KUALA LUMPUR - The black-and-white image appears to show the unlikeliest of interactions: an orangutan cradling endangered leopard cubs deep in the jungles of Malaysia's Sabah state.

But the viral image is not just unlikely, it is fake, part of a trend of wildlife images generated by artificial ...",The Japan Times,0.089,0.911,0.0,-0.6542
2026-08-16 23:38:16+00:00,No more fake monkey business,"The black-and-white image appears to show the unlikeliest of interactions: an orang utan cradling endangered leopard cubs deep in the jungles of Malaysia's Sabah state.

But the viral image is not just unlikely, it is fake, part of a trend of wildlife images generated by artificial intelligence that ...",The Star ,0.136,0.796,0.067,-0.5
2026-08-16 18:33:09+00:00,Inside the war room of a dark money campaign for Sarasota County commission seats,"Sixty-six days before Local Government Accountability Inc. (LGAI) filed a corporate charter saying it would not intervene in candidate campaigns as a nonprofit, the operation behind its website had already decided who it wanted voters to choose and assembled a trove of materials inside a file ...",WGCU News | PBS & NPR for Southwest Florida,0.066,0.934,0.0,-0.5994
2026-08-16 10:05:05+00:00,Ottawa wants to block kids from social media. How would age verification work?,"OTTAWA -- In June, the federal government introduced Bill C-34, which would force social media platforms to block access for kids under 16. The exact ways in which social media platforms would verify age haven't yet been worked out.

OTTAWA -- In June, the federal government introduced Bill C-34, ...",Times Colonist,0.087,0.913,0.0,-0.7003
2026-08-16 21:00:30+00:00,Google Maps bug shows users fewer places to spend the night,"Google Maps is an interesting microcosm of how Google deals with its ecosystem. Google is always tinkering with the app seeking to make it easier for users to get from point ""A"" to point ""B"" quickly and safely. Over the years, Google added more content such as places to eat or find entertainment ...",Phone Arena,0.0,0.841,0.159,0.8885
2026-08-16 15:12:29+00:00,How would social media age verification work under Ottawa's proposed rules?,"In June, the federal government introduced Bill C-34, which would force social media platforms to block access for kids under 16.

The exact ways in which social media platforms would verify age haven't yet been worked out. Culture Minister Marc Miller said there will be ""a back and forth with ...",The Globe and Mail,0.045,0.955,0.0,-0.4404
2026-08-15 21:00:00+00:00,"COLUMN: Amid scams and lean times, charity must begin at home","'I wish there was enough disposable income to help more but I think we all need to protect ourselves and make smart choices,' says columnist

Times are tough and you can't get blood out of a stone.

Is it harder to be generous as we all struggle to make ends meet?

I was thinking about this after ...",OrilliaMatters.com,0.088,0.703,0.21,0.872
2026-08-15 06:35:16+00:00,Facebook Down Now? Users Report Login And Loading Problems As Outage Trackers Monitor Ongoing Issues,"Reports of blank screens and video playback issues surface, but Meta remains silent on a broader outage.

Facebook users have reported a scattered series of problems accessing the platform this week, according to multiple third-party outage-tracking services, with complaints ranging from blank ...",International Business Times AU,0.144,0.856,0.0,-0.8381
2026-08-14 12:01:00+00:00,"Video: Google AI Home Page Test, AI Local Pack Slop, Google Poaching Advertisers & Meta Building A Search Engine","This week, we of course had more Google search ranking volatility, this time on the 12th. Google is testing new AI buttons on its home page, which makes you wonder. Google Search Console expanded its generative AI reporting tools again. Google AI Overviews for local results show AI slop. Google is ...",Search Engine Roundtable,0.0,1.0,0.0,0.0
2026-08-14 09:01:57+00:00,"Rajeev Thakkar's Parag Parikh Flexi Cap Fund got Rs 1,583 crore in July but bought no new stocks: How is it positioned?- Moneycontrol.com","Parag Parikh Flexi Cap Fund received more money than any other flexi-cap scheme in July. But despite more than Rs 1,500 crore of fresh inflows, the fund did not add a single new stock during the month.

Managed by Rajeev Thakkar, the fund received Rs 1,583 crore in July, taking its assets under ...",MoneyControl,0.035,0.903,0.062,0.296
2026-08-13 12:54:01+00:00,"Productive talks held to boost US investment, create jobs: Mahdi Amin","Prime Minister Tarique Rahman held a meeting with a 50-member delegation of the US-Bangladesh Business Council on Thursday to discuss ways to increase US investment in Bangladesh, create jobs and accelerate economic growth.

The meeting was held at the Prime Minister's Office (PMO) in Bangladesh ...",unb.com.bd,0.0,0.81,0.19,0.8658
